site,Month,P,T,F,RAIN,SNOW,PACK,MELT,W,PET,W - PET,SOIL,/\SOIL,ET,W-ET-/\SOIL,D,year
BIBE-NLM,1,12.90563373,9.311385788,1,12.90563373,0,0,0,12.90563373,52.84558999,-39.93995626,0,0,12.90563373,0,39.93995626,1950
BIBE-NLM,2,7.739739665,12.0443315,1,7.739739665,0,0,0,7.739739665,56.73674261,-48.99700294,0,0,7.739739665,0,48.99700294,1950
BIBE-NLM,3,9.863812155,15.72053523,1,9.863812155,0,0,0,9.863812155,78.77644238,-68.91263023,0,0,9.863812155,0,68.91263023,1950
BIBE-NLM,4,18.16225416,20.52487465,1,18.16225416,0,0,0,18.16225416,101.4608751,-83.29862095,0,0,18.16225416,0,83.29862095,1950
BIBE-NLM,5,25.49199227,25.13542594,1,25.49199227,0,0,0,25.49199227,136.5409883,-111.048996,0,0,25.49199227,0,111.048996,1950
BIBE-NLM,6,42.34705332,28.07117488,1,42.34705332,0,0,0,42.34705332,155.5704452,-113.2233919,0,0,42.34705332,0,113.2233919,1950
BIBE-NLM,7,42.90745869,28.1728604,1,42.90745869,0,0,0,42.90745869,161.6569612,-118.7495026,0,0,42.90745869,0,118.7495026,1950
BIBE-NLM,8,47.77265459,27.26814297,1,47.77265459,0,0,0,47.77265459,153.7921683,-106.0195138,0,0,47.77265459,0,106.0195138,1950
BIBE-NLM,9,25.36152999,24.64214844,1,25.36152999,0,0,0,25.36152999,128.5131911,-103.1516611,0,0,25.36152999,0,103.1516611,1950
BIBE-NLM,10,29.10073451,19.98967137,1,29.10073451,0,0,0,29.10073451,101.6123367,-72.51160217,0,0,29.10073451,0,72.51160217,1950
BIBE-NLM,11,9.692884474,13.94992226,1,9.692884474,0,0,0,9.692884474,68.41755241,-58.72466793,0,0,9.692884474,0,58.72466793,1950
BIBE-NLM,12,10.96488213,9.182267294,1,10.96488213,0,0,0,10.96488213,52.41071557,-41.44583344,0,0,10.96488213,0,41.44583344,1950
BIBE-NLM,1,12.48610999,9.820601236,1,12.48610999,0,0,0,12.48610999,54.59136581,-42.10525582,0,0,12.48610999,0,42.10525582,1951
BIBE-NLM,2,9.688830936,11.90010986,1,9.688830936,0,0,0,9.688830936,56.22712043,-46.53828949,0,0,9.688830936,0,46.53828949,1951
BIBE-NLM,3,8.863168126,16.09631894,1,8.863168126,0,0,0,8.863168126,80.59010401,-71.72693588,0,0,8.863168126,0,71.72693588,1951
BIBE-NLM,4,15.04029726,20.51924973,1,15.04029726,0,0,0,15.04029726,101.4275769,-86.38727961,0,0,15.04029726,0,86.38727961,1951
BIBE-NLM,5,38.40689266,25.22636278,1,38.40689266,0,0,0,38.40689266,137.2410265,-98.83413386,0,0,38.40689266,0,98.83413386,1951
BIBE-NLM,6,46.28676554,27.75215884,1,46.28676554,0,0,0,46.28676554,152.8624465,-106.575681,0,0,46.28676554,0,106.575681,1951
BIBE-NLM,7,56.83057949,27.64972913,1,56.83057949,0,0,0,56.83057949,157.0683093,-100.2377298,0,0,56.83057949,0,100.2377298,1951
BIBE-NLM,8,52.32851455,27.24104811,1,52.32851455,0,0,0,52.32851455,153.5617913,-101.2332768,0,0,52.32851455,0,101.2332768,1951
BIBE-NLM,9,50.94185308,24.2360527,1,50.94185308,0,0,0,50.94185308,125.5947836,-74.65293051,0,0,50.94185308,0,74.65293051,1951
BIBE-NLM,10,40.15585791,19.51525207,1,40.15585791,0,0,0,40.15585791,98.82086513,-58.66500723,0,0,40.15585791,0,58.66500723,1951
BIBE-NLM,11,16.91872997,13.64353615,1,16.91872997,0,0,0,16.91872997,67.13781949,-50.21908951,0,0,16.91872997,0,50.21908951,1951
BIBE-NLM,12,9.032790589,9.2235324,1,9.032790589,0,0,0,9.032790589,52.549358,-43.51656741,0,0,9.032790589,0,43.51656741,1951
BIBE-NLM,1,16.77131743,9.258284317,1,16.77131743,0,0,0,16.77131743,52.66636463,-35.89504719,0,0,16.77131743,0,35.89504719,1952
BIBE-NLM,2,10.85036125,11.52889762,1,10.85036125,0,0,0,10.85036125,54.93363209,-44.08327083,0,0,10.85036125,0,44.08327083,1952
BIBE-NLM,3,10.11553222,16.09456652,1,10.11553222,0,0,0,10.11553222,80.58156307,-70.46603086,0,0,10.11553222,0,70.46603086,1952
BIBE-NLM,4,16.9490579,20.22901024,1,16.9490579,0,0,0,16.9490579,99.72217019,-82.77311229,0,0,16.9490579,0,82.77311229,1952
BIBE-NLM,5,34.11110472,24.96646002,1,34.11110472,0,0,0,34.11110472,135.2484279,-101.1373232,0,0,34.11110472,0,101.1373232,1952
BIBE-NLM,6,61.03532563,27.26050196,1,61.03532563,0,0,0,61.03532563,148.7682288,-87.73290321,0,0,61.03532563,0,87.73290321,1952
BIBE-NLM,7,53.45362557,27.70645772,1,53.45362557,0,0,0,53.45362557,157.5604365,-104.106811,0,0,53.45362557,0,104.106811,1952
